movie_name,judge,rate
The Post,a,5
Call Me by Your Name,a,3
Mission: Impossible - Fallout,a,3
Star Wars: The Last Jedi,a,4
Lady Bird,a,2
Murder on the Orient Express,a,5
The Post,b,4
Call Me by Your Name,b,5
Mission: Impossible - Fallout,b,3
Star Wars: The Last Jedi,b,3
Lady Bird,b,3
Murder on the Orient Express,b,5
The Post,c,4
Call Me by Your Name,c,5
Mission: Impossible - Fallout,c,4
Star Wars: The Last Jedi,c,4
Lady Bird,c,2
Murder on the Orient Express,c,3
The Post,d,3
Call Me by Your Name,d,5
Mission: Impossible - Fallout,d,4
Star Wars: The Last Jedi,d,3
Lady Bird,d,5
Murder on the Orient Express,d,3
The Post,e,4
Call Me by Your Name,e,3
Mission: Impossible - Fallout,e,4
Star Wars: The Last Jedi,e,3
Lady Bird,e,3
Murder on the Orient Express,e,3
